temperature,conductivity,pressure,oxygen,salinity,par,turbidity,time,posted
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,N
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,N
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,N
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,N
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
18.6091,0.00989,6.249,1.2724,0.0563,2.9058,3.3973,7/2/2024 15:01,Y
